"filename", "language", "Python", "Log", "HTML", "JSON", "comment", "blank", "total"
"d:\毕业设计\code\.ipynb_checkpoints\data_abstract-checkpoint.ipynb", "JSON", 0, 0, 0, 153, 0, 1, 154
"d:\毕业设计\code\.ipynb_checkpoints\draw statistics-checkpoint.ipynb", "JSON", 0, 0, 0, 137, 0, 1, 138
"d:\毕业设计\code\.ipynb_checkpoints\genim ldaModel-checkpoint.ipynb", "JSON", 0, 0, 0, 544, 0, 1, 545
"d:\毕业设计\code\.ipynb_checkpoints\kmeans-checkpoint.ipynb", "JSON", 0, 0, 0, 370, 0, 1, 371
"d:\毕业设计\code\.ipynb_checkpoints\matt ldaModel - 副本-checkpoint.ipynb", "JSON", 0, 0, 0, 602, 0, 1, 603
"d:\毕业设计\code\.ipynb_checkpoints\matt ldaModel-checkpoint.ipynb", "JSON", 0, 0, 0, 959, 0, 1, 960
"d:\毕业设计\code\.ipynb_checkpoints\run_lda-checkpoint.ipynb", "JSON", 0, 0, 0, 474, 0, 1, 475
"d:\毕业设计\code\bar_base.html", "HTML", 0, 0, 211, 0, 0, 2, 213
"d:\毕业设计\code\data_abstract.ipynb", "JSON", 0, 0, 0, 291, 0, 1, 292
"d:\毕业设计\code\draw statistics.ipynb", "JSON", 0, 0, 0, 179, 0, 1, 180
"d:\毕业设计\code\execute.py", "Python", 6, 0, 0, 0, 0, 0, 6
"d:\毕业设计\code\genim ldaModel.ipynb", "JSON", 0, 0, 0, 550, 0, 1, 551
"d:\毕业设计\code\hs_err_pid20328.log", "Log", 0, 294, 0, 0, 0, 38, 332
"d:\毕业设计\code\kmeans.ipynb", "JSON", 0, 0, 0, 392, 0, 1, 393
"d:\毕业设计\code\lda.html", "HTML", 0, 0, 35, 0, 0, 6, 41
"d:\毕业设计\code\lda_genim.html", "HTML", 0, 0, 35, 0, 0, 6, 41
"d:\毕业设计\code\lda_mallet.html", "HTML", 0, 0, 35, 0, 0, 6, 41
"d:\毕业设计\code\matt ldaModel - 副本.ipynb", "JSON", 0, 0, 0, 1279, 0, 1, 1280
"d:\毕业设计\code\matt ldaModel.ipynb", "JSON", 0, 0, 0, 1031, 0, 1, 1032
"d:\毕业设计\code\replay_pid20328.log", "Log", 0, 1058, 0, 0, 0, 1, 1059
"d:\毕业设计\code\run_lda.ipynb", "JSON", 0, 0, 0, 519, 0, 1, 520
"d:\毕业设计\code\sklearn.ipynb", "JSON", 0, 0, 0, 241, 0, 1, 242
"Total", "-", 6, 1352, 316, 7721, 0, 74, 9469
